event_id,commence,home,away,book,market,side,line,price,updated,pulled_at
9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,NE,PIT,draftkings,ml,home,,-770,2026-09-20T19:10:22Z,1789931445.111209
9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,NE,PIT,draftkings,ml,away,,514,2026-09-20T19:10:22Z,1789931445.111209
9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,NE,PIT,draftkings,spreads,home,-7.5,116,2026-09-20T19:10:22Z,1789931445.111209
9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,NE,PIT,draftkings,spreads,away,7.5,-153,2026-09-20T19:10:22Z,1789931445.111209
9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,NE,PIT,draftkings,totals,over,23.5,105,2026-09-20T19:10:22Z,1789931445.111209
9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,NE,PIT,draftkings,totals,under,23.5,-138,2026-09-20T19:10:22Z,1789931445.111209
9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,NE,PIT,fanduel,ml,home,,-1100,2026-09-20T19:10:23Z,1789931445.111209
9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,NE,PIT,fanduel,ml,away,,600,2026-09-20T19:10:23Z,1789931445.111209
9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,NE,PIT,fanduel,spreads,home,-7.5,124,2026-09-20T19:10:23Z,1789931445.111209
9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,NE,PIT,fanduel,spreads,away,7.5,-166,2026-09-20T19:10:23Z,1789931445.111209
9d14f87600f6edc74dbcb5c74edf6246,2026-09-20T17:02:22Z,NE,PIT,fanduel,totals,over,25.5,-102,2026-09-20T19:10:23Z,1789931445.111209
